quarter,level_1,level_2,level_3,value
1995-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,861.9
1995-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,986.3
1995-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3270.6
1995-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,3692.6
1995-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3319.5
1996-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,7798
1996-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2099.4
1996-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,488.3
1996-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,48.1
1996-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4120.8
1996-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,2984.3
1996-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,856.3
1996-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,928.9
1996-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3483.8
1996-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,3727.9
1996-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,2833
1996-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,7831.6
1996-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2187.9
1996-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,579.8
1996-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,51.3
1996-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4098.3
1996-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3070
1996-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,838.9
1996-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,996.1
1996-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3461.2
1996-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,3962
1996-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,2705.9
1996-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,7647
1996-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2317.5
1996-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,632.7
1996-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,51.4
1996-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4230.3
1996-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3103.5
1996-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,844.9
1996-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1004.8
1996-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3531
1996-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,3931.7
1996-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3104.9
1996-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,8197.5
1996-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2482.7
1996-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,606.7
1996-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,52.9
1996-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4545.5
1996-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3309
1996-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,906.2
1996-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1073.2
1996-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3695.9
1996-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4028.3
1996-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3653.1
1997-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,7373.6
1997-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2346.4
1997-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,582.4
1997-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,49.8
1997-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4305.1
1997-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3107.8
1997-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,918.7
1997-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,999.6
1997-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4426.3
1997-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4067
1997-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3096.6
1997-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,8055.8
1997-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2470.1
1997-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,676.7
1997-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,51.8
1997-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4405.1
1997-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3269.5
1997-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,915.5
1997-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1151.7
1997-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4583.6
1997-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4203.8
1997-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,2987.2
1997-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,8629
1997-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2832.3
1997-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,729.6
1997-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,47.7
1997-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4494.5
1997-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3268
1997-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,932.6
1997-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1160.5
1997-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4550.3
1997-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4350
1997-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3362.6
1997-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,8869
1997-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2886.7
1997-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,724.1
1997-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,48.3
1997-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4335.9
1997-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3529
1997-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,955.7
1997-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1169.6
1997-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4317.6
1997-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4455.1
1997-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3950.7
1998-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,8121.7
1998-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2707.4
1998-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,699.1
1998-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,43.1
1998-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4131.1
1998-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3113.9
1998-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,893.8
1998-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1101.9
1998-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4244.6
1998-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4166.4
1998-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3354.6
1998-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,8054.8
1998-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2664.2
1998-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,753.4
1998-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,39.3
1998-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4006.6
1998-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3212.8
1998-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,856.8
1998-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1181
1998-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4264.9
1998-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4173.9
1998-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3128.3
1998-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,8213.5
1998-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2695.8
1998-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,660
1998-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,37.4
1998-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,3947.2
1998-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3246.3
1998-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,843.5
1998-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1146.8
1998-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4313.6
1998-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,3935.5
1998-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3390.6
1998-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,8134.1
1998-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2581.7
1998-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,685.6
1998-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,40
1998-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4099.1
1998-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3303.1
1998-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,890.8
1998-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1181
1998-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4211.2
1998-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,3819
1998-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3648.5
1999-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,7572.2
1999-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2455.6
1999-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,718.1
1999-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,38.3
1999-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4070.9
1999-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3248.6
1999-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,864.9
1999-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1177.2
1999-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3473.6
1999-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,3830.7
1999-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3359.2
1999-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,8234.7
1999-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2201.1
1999-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,661.1
1999-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,40.7
1999-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4567.1
1999-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3411.2
1999-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,895.8
1999-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1296.9
1999-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4119.3
1999-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4022.2
1999-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3109.9
1999-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,8647.4
1999-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2222.1
1999-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,668.4
1999-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,40.7
1999-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4675.8
1999-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3590.1
1999-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,883.4
1999-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1328.8
1999-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3980.7
1999-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4110.4
1999-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3378.3
1999-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,8935.7
1999-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2168.3
1999-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,599.6
1999-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,43
1999-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5098.3
1999-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3747.5
1999-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,947.8
1999-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1423.1
1999-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3829.8
1999-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4228.6
1999-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3880.6
2000-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,9192.9
2000-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2016.6
2000-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,582.5
2000-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,39.1
2000-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4692.7
2000-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3643
2000-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,932.8
2000-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1281.7
2000-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3913.4
2000-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4204.3
2000-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3646.7
2000-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,10066.7
2000-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1946.8
2000-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,592.9
2000-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,37
2000-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5043.4
2000-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3728.5
2000-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,927.7
2000-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1412.1
2000-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3934.7
2000-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4373.4
2000-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3487.1
2000-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,11426.9
2000-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2097.5
2000-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,738.2
2000-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,38.8
2000-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5430.2
2000-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,4014.6
2000-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,947
2000-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1461.5
2000-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3866
2000-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4505.8
2000-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3985.6
2000-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,12040.2
2000-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,2126.8
2000-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,809.5
2000-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,37.3
2000-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5508.5
2000-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,4058.7
2000-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,994.6
2000-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1495.7
2000-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3738
2000-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4577.8
2000-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,4626.5
2001-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,9919.4
2001-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1984.5
2001-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,859.1
2001-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,34.8
2001-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5073.3
2001-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3554.7
2001-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,976.7
2001-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1624.8
2001-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4246.9
2001-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4416
2001-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,4456.5
2001-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,9330.7
2001-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1896.3
2001-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,896.8
2001-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,33.6
2001-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5040
2001-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3440.5
2001-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,963.8
2001-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1688.2
2001-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4246.9
2001-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4437.4
2001-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,3946.6
2001-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,8968.8
2001-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1977.4
2001-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,867.1
2001-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,32
2001-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,4944.2
2001-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3473.7
2001-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,951
2001-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1695.1
2001-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3714
2001-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4385.4
2001-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,4428.9
2001-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,9168.6
2001-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1871
2001-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,813
2001-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,31.8
2001-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5122
2001-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3645.3
2001-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,942.7
2001-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1659.6
2001-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,3758.1
2001-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4246.8
2001-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,4626
2002-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,9381.8
2002-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1795
2002-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,795.4
2002-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,30.4
2002-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5054.1
2002-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3520.8
2002-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,920.2
2002-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1589.8
2002-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4247
2002-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4453.1
2002-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,4834
2002-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,10458.1
2002-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1582.9
2002-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,778.5
2002-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,29.7
2002-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5484.2
2002-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3517.7
2002-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,914.8
2002-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1591.9
2002-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,4041.4
2002-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,4605.7
2002-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,4329.4
2002-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,10377.5
2002-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,1634.8
2002-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,837.4
2002-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,29
2002-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,5777.8
2002-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,3431
2002-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,909.4
2002-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,1622.2
